Тип (official_short_type);Номер (ref);Напряжение (voltage);Название (name);Трансформаторная мощность, МВА (rating);Год ввода (start_date);Оператор (operator);Филиал (branch)
ПС;;110/6;Беркут;41;;АО «РСК „МиГ“»;Нижегородский авиастроительный завод «Сокол»
ПС;;110/6;Богородская;30;1927;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;БЦКК;32;;ОАО «Полиграфкартон»;
ПС;;110/6;Варя;32;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Водозабор;31;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Волна;40;;АО «ОКБМ Африкантов»;
ПС;;110/6;Ворсма;32;1929;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Выкса;63;1932;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/6;ГАСТ;32;;АО «Верхне-Волжская энергетическая компания»;
ПС;;110/6;ГМЗ-1;30;;ОАО «Горьковский металлургический завод»;
ПС;;110/6;ГМЗ-2;80;;ОАО «Горьковский металлургический завод»;
ПС;;110/6;Городецкая;50;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/6;Гранит;80;;АО «Нижегородский завод 70-летия Победы»;
ПС;;110/6;Двигатель;40;;ОАО «РУМО»;
ПС;;110/6;Досчатое;16.3;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/6;ДРО;32;;ПАО «Завод корпусов»;
ПС;;110/6;Дубравная;50;;ПАО «Завод „Красное Сормово“»;
ПС;;110/6;Заводская;50;;ООО «Волгоэлектросеть»;
ПС;;110/6;Заволжская;5.6;1954;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/6;ЗГТ;50;;ЗАО «Заволжский завод гусеничных тягачей»;
ПС;;110/6;Импульс;20;;ФГУП «ФНПЦ НИИИС им. Ю.И. Седакова»;
ПС;;110/6;Канавинская;71.5;1968;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Кировская;63;1953;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;КМЗ;50;;ПАО «Русполимет»;
ПС;;110/6;Корунд;80;;ООО «Корунд»;
ПС;;110/6;Красная Этна;72;;ПАО «Завод „Красная Этна“»;
ПС;;110/6;Кристалл;32;;ГК «Нижегородский масложировой комбинат»;
ПС;;110/6;Левинка;31;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Ленинская;41;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Литвиново;32;;ОАО «Металлист»;
ПС;;110/6;Металлист;31;;ЗАО «Транссетьком-Волга»;
ПС;;110/10;Могильцы;5;;ОАО «РЖД»;ЭЧ-2 Горький
ПС;;110/6;Молитовская;72;1925;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Мыза;80;1953;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Навашино;30;1937;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/6;Накат;220.5;;АО «Волга»;
ПС;;110/6;Новая;31;;ЗАО «Управляющая компания „РТС-РОС“»;
ПС;;110/6;Новосормовская;50;1933;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Ольгино;32;1999;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;ПАЗ;20;;ПАО «Павловский автобус»;
ПС;;110/6;Пестовская;26;1963;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/6;Прибой;30;;АО «Нижегородский завод 70-летия Победы»;
ПС;;110/6;Приокская;63;1958;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Пропилен;64;;ООО «СИБУР-Кстово»;
ПС;;110/6;Редуктор;81;;ООО «Заводские сети»;
ПС;;110/6;РОС;80;;ОАО «Дзержинский водоканал»;
ПС;;110/6;Сатис;5.6;1952;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/6;Светлоярская;80;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Сокол;41;;АО «РСК „МиГ“»;Нижегородский авиастроительный завод «Сокол»
ПС;;110/6;Соцгород;71.5;1963;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Спутник;57;1988;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Староликеево;32;;АО «Транснефть - Верхняя Волга»;Горьковское районное нефтепроводное управление
ПС;;110/6;Старосормовская;63.5;1928;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Стеклозаводская;80;;ОАО «AGC Борский стекольный завод»;
ПС;;110/6;Таремская;12.6;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Теплообменник;72;;ЗАО «Энерго Групп»;
ПС;;110/6;Тимирязевская;32;;ОАО «Синтез»;
ПС;;110/6;Толоконцево;15;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/6;Тумботино;20;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Федяково;50;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Химмаш;32;;ОАО «Дзержинскхиммаш»;
ПС;;110/6;ЦБК-1;176;;АО «Волга»;
ПС;;110/6;Чермет;31;;ООО «Зефс-Энерго»;
ПС;;110/6;Щербинки;30;;АО «НПП „Салют“»;
ПС;;110/6;Янтарь;32;;ЗАО «Транссетьком-Волга»;
ПС;;110/6;Ясенецкая;20;1976;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/27.5/6;Малаховская;41.5;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ЭЧЭ;7;110/35/27.5;Сейма-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;8;110/27.5/6;Сортировочная;105;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;9;110/27.5/6;Высоково;63;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;10;110/27.5/10;Тарасиха;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;11;110/35/27.5;Керженец-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;12;110/35/27.5;Быструха;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;13;110/27.5/10;Арья-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;14;110/27.5/10;Шахунья-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;15;110/27.5/10;Буреполом;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;51;110/27.5/10;Сергач-Тяговая;141;;ОАО «РЖД»;ЭЧ-12 Арзамас
ЭЧЭ;52;110/27.5;Бобыльская-Тяговая;125;;ОАО «РЖД»;ЭЧ-12 Арзамас
ЭЧЭ;53;110/27.5/10;Мухтолово-Тяговая;141;;ОАО «РЖД»;ЭЧ-5 Муром
ЭЧЭ;58;110/27.5/10;Ройка;40;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;59;110/27.5/10;Суроватиха;90;;ОАО «РЖД»;ЭЧ-2 Горький
ГПП;40;110/35/6;;;;АО «Саровская электросетевая компания»;
ГПП;;110/6;Заречная;;;АО «Саровская электросетевая компания»;
ГПП;;110/6;Лесная;;;АО «Саровская электросетевая компания»;
ГПП;1;110/6;Металлургическая;50;;АО «Выксунский металлургический завод»;
ГПП;2;110/6;Прокатная;50;;АО «Выксунский металлургический завод»;
ГПП;3;110/6;Трубная;50;;АО «Выксунский металлургический завод»;
ГПП;4;110/6;Многослойная;80;;АО «Выксунский металлургический завод»;
ГПП;5;110/6;ВМЗ;40;;АО «Выксунский металлургический завод»;
ГПП;6;110;ВМЗ;;2008;АО «Выксунский металлургический завод»;
ГПП;7;110;ВМЗ;;;АО «Выксунский металлургический завод»;
ГПП;1;110/10;ЛПК ОМК;320;;АО «Выксунский металлургический завод»;
ГПП;2;110/10;ЛПК ОМК;160;;АО «Выксунский металлургический завод»;
ГПП;3;35/6;;80;;ООО «Лукойл-Энергосети»;
ГПП;4;110/6;;126;2015;ООО «Лукойл-Энергосети»;
ЦРП;1;35;;;;ООО «Лукойл-Энергосети»;
ЦРП;2;35;;;;ООО «Лукойл-Энергосети»;
ЦРП;3;35/6;;20;;ООО «Лукойл-Энергосети»;
ЦРП;4;35/6;;20;;ООО «Лукойл-Энергосети»;
